id_alumne,TTC,CP,FDD,DRO,PIC,EC,SDL,FDPTD,HD,DCP,OTE,PD,DOC,DIC,DFT,FDA,DPC,IDCE,DR,PST,CAA,DEM,DTS,DPP,DS,BPU
3,6.7,5.6,5.9,5.7,7.0,,2.5,6.1,5.5,5.1,5.0,,,,,,,5.5,,,,,,,,
32,7.7,3.5,5.0,6.0,3.5,5.2,3.6,5.6,5.0,5.0,3.9,5.0,6.0,5.5,7.0,6.5,5.0,7.4,,,5.4,,,,,
34,,7.0,10.0,9.0,7.0,8.0,7.5,9.3,6.5,9.0,9.0,9.3,5.4,7.5,6.0,9.5,8.0,9.0,,8.0,,4.5,6.0,,7.0,8.5
35,,1.1,8.0,6.0,8.0,8.0,8.0,5.9,9.0,7.0,5.0,7.9,6.0,8.5,7.0,7.0,7.0,6.5,2.0,8.2,8.5,7.3,8.0,6.0,7.3,7.4
45,8.3,8.3,9.0,5.2,6.8,7.0,7.0,7.7,6.5,5.4,6.0,,2.0,,,,,,,,,,,,,
48,8.0,9.0,8.0,5.6,6.0,5.3,7.0,5.5,7.2,5.3,7.0,6.5,6.0,6.0,7.7,7.0,6.5,5.5,6.5,5.6,6.0,5.4,8.0,6.0,6.5,6.1
51,6.0,9.0,7.0,10.0,5.0,6.0,10.0,8.5,8.0,6.0,7.2,8.0,6.0,7.0,9.0,8.0,7.0,5.0,5.6,7.0,7.5,7.0,7.8,5.0,7.0,6.0
52,,5.0,5.3,6.0,2.5,9.0,5.6,7.0,5.5,5.4,5.5,7.0,5.4,5.0,5.5,7.2,5.5,6.3,5.5,7.3,6.0,6.0,6.0,6.0,6.0,7.6
53,,9.7,8.0,9.0,10.0,9.0,8.3,8.0,9.0,,10.0,,8.0,6.7,,,,,,,,,9.0,,,
56,,9.2,7.0,,5.5,,,,,,0.2,,,,,,,,,,,,,,,
57,,2.5,1.5,3.0,,,,,,,,,,,,,,,,,,,,,,
59,7.9,9.3,8.5,6.4,9.0,7.6,,9.0,,5.6,9.0,9.0,,,2.8,7.0,5.0,8.1,8.5,9.0,8.0,7.0,5.0,5.0,8.0,8.0
65,7.3,6.7,5.5,6.0,3.0,5.0,5.0,5.0,7.0,5.0,,,,,,,,,,,,,,,,
67,7.0,7.0,7.5,6.1,7.1,8.0,7.0,8.5,6.0,7.0,5.7,7.0,6.0,8.4,8.3,7.0,7.0,8.5,6.9,5.4,7.5,6.0,5.9,8.0,7.0,7.9
69,6.0,9.1,7.1,8.0,8.0,6.0,8.5,9.0,9.0,7.3,8.0,8.1,7.0,9.0,7.0,7.5,9.0,8.3,9.0,7.5,9.0,7.0,8.0,,8.0,7.2
71,,9.0,8.3,9.6,8.5,6.0,10.0,9.5,,8.4,8.0,9.6,9.8,10.0,10.0,10.0,10.0,6.0,10.0,8.0,10.0,6.0,8.5,9.5,10.0,8.3
75,8.0,6.0,8.0,3.6,6.0,6.0,5.0,4.2,4.5,,3.2,2.5,4.5,6.0,8.0,6.0,3.5,6.0,,,6.0,,,,,
76,,7.0,,3.5,5.0,6.0,5.0,3.1,2.5,6.0,4.2,5.0,5.0,7.0,6.0,5.1,6.5,5.0,0.3,5.0,4.4,5.5,6.0,,5.5,3.2
92,,,7.0,8.0,,8.0,,7.8,7.0,,,,,,,,,,,,,,,,,
94,9.0,6.0,7.5,8.0,9.0,9.0,5.0,5.6,5.6,6.5,7.4,5.0,5.0,7.5,8.0,3.7,6.0,6.0,5.0,9.0,6.7,7.0,7.0,6.5,8.1,6.7
96,,8.5,10.0,9.0,9.0,8.0,8.5,9.5,9.0,9.9,8.3,7.6,9.0,8.5,9.4,10.0,7.5,6.0,9.9,7.0,8.0,8.0,9.0,5.0,8.1,8.0
100,6.8,7.4,5.0,5.5,6.7,7.0,6.5,7.5,5.0,5.0,7.0,9.0,5.1,7.0,7.0,5.7,6.0,7.5,7.0,7.0,8.0,9.8,9.0,5.0,7.6,5.0
101,8.4,0.0,,,,,,,,,,,,,,,,,,,,,,,,
107,,6.9,5.0,5.7,5.5,5.3,5.0,5.0,7.6,6.0,5.5,,,8.1,7.1,7.1,,8.3,5.2,,6.0,,,,,5.2
109,9.0,9.0,7.0,7.0,6.0,6.0,8.5,5.5,5.0,8.0,8.2,8.3,5.9,8.0,7.3,6.8,7.0,8.0,6.0,6.0,6.8,6.2,5.1,7.0,7.0,5.0
111,,,9.0,7.0,8.7,6.0,6.5,8.2,9.0,9.9,7.0,8.1,9.2,8.5,8.0,9.0,8.5,9.0,9.5,8.5,8.0,7.0,8.5,9.0,9.0,8.0
112,,3.0,2.2,,,,,,,,,,,,,,,,,,,,,,,
115,6.9,5.9,9.5,9.0,7.7,8.2,5.8,9.7,7.0,,6.0,5.0,,4.0,9.0,8.4,,,,,,,,,,
118,7.0,,7.0,6.0,,6.0,,,6.5,,,,,,,,,,,,,,,,,
119,6.9,,4.0,3.5,,,,,,,,,,,,,,,,,,,,,,
120,7.6,6.0,9.1,,9.0,8.0,7.5,7.5,8.0,8.1,,6.6,6.0,,,,,7.7,5.0,9.1,5.0,7.0,,,9.5,0.0
125,9.0,9.0,7.4,5.8,7.0,6.0,8.5,6.0,8.6,6.5,5.5,9.0,5.0,6.5,1.2,5.5,2.5,8.2,5.0,7.3,6.5,7.0,5.0,6.5,6.0,5.0
128,,7.3,7.0,7.5,,6.7,,7.0,5.0,,,,,,,,,,,,,,,,,
130,6.1,6.3,5.0,5.0,8.7,6.0,5.0,9.0,5.0,,7.0,7.1,7.3,7.0,7.5,5.5,5.0,8.0,,6.0,5.0,6.0,6.2,5.0,6.5,5.2
134,8.0,6.0,6.0,7.0,8.0,8.0,5.6,5.1,5.5,1.6,4.2,5.1,6.1,6.0,6.0,6.8,6.2,5.0,2.0,8.2,6.8,10.0,6.6,6.0,6.5,9.0
139,,9.0,,6.0,9.0,6.0,8.0,8.5,6.0,10.0,9.0,9.1,7.3,7.5,8.0,7.3,7.5,9.0,6.5,9.0,7.5,9.0,6.0,7.0,7.0,6.7
150,5.0,6.0,6.0,5.4,7.0,5.0,6.1,7.3,5.0,7.0,6.6,7.1,5.1,7.5,6.0,9.1,6.6,6.1,6.4,6.0,6.5,5.0,4.3,7.0,6.6,5.8
152,7.7,0.0,8.0,,8.0,,5.2,7.0,5.0,,7.0,,,,,,,,,,,,,,,
153,7.0,7.5,5.0,6.0,6.0,6.0,8.7,8.5,5.5,5.0,8.5,7.0,7.2,9.5,6.0,7.5,9.0,7.0,7.3,8.5,8.0,7.0,7.5,7.6,7.0,6.7
155,6.0,5.0,5.6,5.0,7.0,6.9,6.3,6.0,5.0,6.0,6.5,8.0,1.6,7.0,6.0,5.6,4.2,8.0,1.9,6.3,0.0,7.0,8.0,6.5,9.5,6.7
156,9.7,9.5,9.5,10.0,9.5,9.2,9.5,8.8,9.0,9.2,9.5,9.8,9.0,9.0,10.0,9.2,10.0,9.5,9.0,9.5,9.0,10.0,9.0,9.2,10.0,9.0
161,7.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,
162,8.0,,6.6,,6.0,,,4.0,,,2.0,,2.0,,,,,,,,,,,,,
165,5.5,7.5,6.1,6.5,5.5,6.3,5.5,6.1,5.0,5.0,5.0,7.4,7.0,6.0,7.4,1.7,6.0,7.5,5.0,7.3,6.3,5.5,7.2,6.1,7.5,6.0
167,,7.7,4.0,,,,,4.0,,,,,,,,,,,,,,,,,,
168,9.0,8.2,8.5,10.0,7.7,5.0,9.0,9.0,5.5,5.7,7.7,6.0,9.0,5.5,4.0,7.0,1.2,7.3,8.2,9.6,8.0,9.0,5.7,6.7,7.0,8.3
171,6.7,5.5,7.0,8.1,5.0,6.0,3.0,5.0,5.0,5.2,5.0,5.0,5.0,5.0,0.0,,2.0,,,7.7,1.7,3.6,,,,
172,5.4,5.9,5.0,5.0,5.8,5.0,5.0,3.6,7.0,6.0,3.9,7.4,2.9,6.0,6.0,5.8,3.0,2.5,,,,,,,,
175,6.0,5.0,5.1,8.0,6.0,6.0,5.0,7.7,1.0,0.5,5.0,6.8,7.0,7.0,6.7,2.0,4.0,4.0,1.0,5.5,6.5,6.7,6.0,4.2,6.7,5.2
177,6.0,7.7,4.0,6.2,9.0,5.8,7.0,5.6,5.3,5.5,6.0,6.0,6.7,5.5,9.0,7.4,5.0,6.5,5.7,4.0,8.0,5.5,7.8,0.0,7.7,6.3
179,4.9,5.1,3.0,7.0,6.0,7.0,5.0,5.9,5.0,3.4,3.3,7.8,7.0,8.0,5.7,1.0,4.0,6.4,0.0,6.0,6.0,6.0,8.0,3.5,6.0,7.0
