id_alumne,PIP,PED,PDAA,AT,SOC,LCAT,LESP,DIDA,LENG,INCL,SEOE,DIDC,DIDM,CINA,PLST,EDFI,PRAC,DGEO
1,6.2,9.0,8.0,8.2,9.0,5.0,6.0,8.0,7.7,8.0,7.5,9.0,7.1,6.4,9.0,8.1,7.5,9.2
2,,,,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,
6,8.2,9.0,9.1,7.6,10.0,6.0,8.0,7.5,6.6,9.1,7.6,8.0,6.3,7.1,8.5,9.4,8.6,8.2
8,9.3,9.5,10.0,9.3,9.0,9.5,6.0,8.8,8.8,9.3,9.0,10.0,9.2,9.1,10.0,9.1,10.0,9.3
12,7.7,7.7,7.7,8.0,8.0,0.0,6.0,0.0,0.0,7.7,7.7,0.0,8.0,6.3,9.0,6.0,9.0,9.0
14,6.0,7.8,8.2,5.9,8.5,4.0,7.0,6.2,8.0,8.2,7.0,5.0,6.6,6.7,4.0,6.7,7.6,7.4
17,7.4,7.6,7.5,9.0,8.0,6.5,7.6,7.1,7.0,7.6,7.5,6.3,9.2,8.0,8.0,8.4,9.0,8.0
23,6.4,8.1,7.0,7.5,0.0,0.0,8.0,5.8,5.9,0.0,0.0,7.0,0.0,0.0,5.0,,4.5,0.0
25,7.5,0.0,0.0,0.0,7.0,3.5,7.5,8.0,7.0,6.7,7.7,8.0,9.0,7.4,6.5,7.2,9.0,9.0
26,7.3,7.2,8.3,7.0,6.0,7.0,7.9,8.9,4.8,7.8,8.0,7.2,6.5,6.7,7.5,7.6,7.0,6.3
33,7.0,7.6,8.1,8.0,8.0,4.0,7.0,9.0,7.4,7.2,7.5,6.7,6.1,8.2,5.6,8.2,6.1,6.7
40,7.7,8.5,7.5,9.0,9.0,7.0,7.7,8.0,7.6,6.3,7.1,5.2,5.0,7.7,8.5,4.1,9.0,6.5
42,0.0,6.3,8.5,0.0,7.8,4.0,3.0,5.1,0.0,,,,,,,,,
43,8.5,9.5,8.0,7.5,8.0,6.5,7.6,7.1,8.9,9.0,8.0,7.5,6.6,8.7,8.5,9.4,8.5,9.5
45,0.0,0.0,7.0,0.0,0.0,7.0,8.0,0.0,7.0,6.5,5.7,0.0,7.1,0.0,3.1,,5.0,6.3
48,6.6,6.4,6.0,7.3,9.0,5.0,9.0,8.5,7.9,7.0,8.0,10.0,7.0,7.9,9.0,7.9,8.4,8.2
51,7.4,8.0,8.4,9.0,9.0,5.0,7.9,9.1,6.6,9.1,8.0,8.3,9.0,8.1,8.5,9.0,10.0,9.3
52,6.1,9.0,8.2,8.0,9.0,7.6,6.6,8.5,5.7,6.6,8.2,6.1,7.4,7.1,8.4,8.1,9.0,7.0
56,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,,,,,,,,,
57,10.0,8.5,9.0,10.0,8.0,7.0,7.8,9.0,8.8,8.8,8.2,9.2,7.8,9.1,9.0,9.2,9.2,8.7
59,6.5,7.0,6.4,8.1,7.1,0.0,0.0,6.4,0.0,5.0,4.9,5.6,,,7.0,5.9,,
64,,9.5,8.9,8.4,9.0,,,9.2,,,,,,,,,,
65,7.0,8.0,8.3,7.8,9.0,3.0,7.1,7.5,0.0,,,,,,,,,
69,8.2,9.2,7.6,8.0,9.0,6.5,0.0,9.3,9.0,6.5,9.0,9.3,9.1,7.8,7.0,7.4,9.5,9.0
72,7.4,6.7,7.4,9.0,8.0,6.7,7.3,8.3,5.6,9.0,8.0,8.1,8.1,6.7,10.0,9.0,8.4,9.2
74,7.6,9.0,8.5,6.7,10.0,8.0,9.3,9.2,9.3,7.5,7.2,7.5,7.4,8.7,7.0,6.5,9.0,8.0
80,0.0,7.9,8.6,0.0,6.0,5.0,7.0,0.0,0.0,,,,,,,,,
81,7.6,8.4,7.5,8.2,7.0,4.0,7.8,7.2,5.5,7.2,8.5,6.5,5.9,6.4,6.6,7.8,7.7,5.2
82,9.0,8.5,8.0,7.5,8.0,7.0,8.4,8.5,8.4,9.5,8.0,8.5,8.0,7.7,8.0,9.2,9.5,8.5
87,8.0,8.8,7.0,7.0,8.5,7.0,7.4,9.0,8.3,8.0,8.6,5.1,8.0,8.5,9.0,8.0,0.0,9.0
90,6.4,8.1,9.0,9.0,8.1,6.8,8.5,8.5,9.0,0.0,9.4,8.5,7.1,8.4,8.7,6.4,8.4,7.4
97,7.9,8.5,8.5,8.2,7.5,7.0,6.4,7.7,8.5,0.0,7.0,0.0,,6.3,9.5,7.0,9.0,0.0
99,0.0,,,,,,,,,,,,,,,,,
101,0.0,0.0,,,,,0.0,0.0,0.0,,,,,,,,,
102,8.0,8.7,8.5,9.0,7.8,7.0,9.0,8.5,7.2,8.5,7.0,9.7,9.0,9.0,10.0,9.1,9.7,8.5
105,6.0,8.1,9.5,8.2,9.0,4.0,8.5,8.5,8.5,9.0,8.5,,,7.8,9.4,7.2,9.8,8.5
106,8.1,8.0,7.5,8.8,8.0,6.5,7.2,9.2,7.4,8.0,8.1,8.0,7.3,9.3,9.0,8.5,8.0,8.4
107,7.2,9.6,8.6,7.7,9.8,7.5,7.7,8.5,6.1,6.5,7.5,8.2,8.3,7.6,9.5,7.9,8.1,9.0
110,0.0,8.0,0.0,0.0,7.1,0.0,3.0,0.0,0.0,,,,,,,,,
111,8.4,9.0,0.0,9.2,9.0,7.8,6.5,9.3,7.7,,,,,,6.0,7.2,,8.5
112,0.0,,,,0.0,0.0,0.0,,,,,,,,,,,
113,6.6,7.5,9.0,7.4,8.0,8.0,7.1,7.5,8.5,6.5,7.9,6.5,8.5,7.0,8.2,7.7,9.0,8.0
114,0.0,8.1,3.5,0.0,9.5,9.0,9.3,8.0,0.0,,,,,,,,,
115,7.6,9.5,8.5,9.2,8.2,7.0,8.5,8.0,7.9,10.0,10.0,8.1,7.8,7.5,9.1,9.1,9.4,8.8
116,7.9,9.0,8.4,6.8,7.5,4.0,7.1,9.7,9.4,7.0,7.2,6.0,7.7,8.2,10.0,5.5,7.9,8.3
117,7.5,9.5,7.0,9.0,8.0,5.0,7.8,7.5,6.4,9.0,7.0,7.7,8.4,7.0,9.0,8.5,10.0,7.5
118,0.0,8.0,6.0,8.0,8.0,6.5,7.2,7.1,5.8,8.0,8.5,6.8,7.2,5.7,7.3,6.7,9.0,8.3
121,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.5,0.0,,,,,,,,,
122,6.9,10.0,9.0,7.8,10.0,0.0,7.0,8.5,0.0,0.0,6.5,,,,9.0,6.5,,0.0
123,5.0,7.6,8.6,7.2,10.0,6.0,7.9,5.5,5.8,6.2,7.0,8.0,6.1,6.0,8.0,9.0,8.4,9.0
125,7.9,7.5,7.0,6.7,8.7,9.0,8.4,8.5,7.8,8.2,6.5,8.0,7.0,6.3,9.0,7.3,8.5,7.0
126,8.4,9.5,9.7,9.2,9.4,7.0,9.0,10.0,9.4,9.0,9.0,9.3,8.9,9.5,9.5,9.1,9.7,10.0
127,6.9,8.5,9.0,9.3,8.5,6.0,8.1,9.9,7.5,6.5,6.9,8.0,6.9,9.2,7.0,6.3,10.0,9.0
130,7.0,,,8.0,9.0,,9.2,,8.6,,,,,,,,,
131,6.6,9.0,8.5,8.2,9.7,6.0,4.0,8.3,6.8,7.5,7.5,9.7,8.2,9.1,8.0,7.0,9.0,10.0
132,8.2,8.0,7.6,7.0,5.8,4.0,7.1,8.4,8.9,6.1,7.2,7.6,7.4,7.0,9.0,7.1,9.1,8.5
134,7.7,9.5,9.0,9.7,10.0,7.0,7.8,9.5,9.0,9.2,7.4,8.5,8.1,7.9,9.5,8.2,9.8,8.0
139,6.0,4.0,7.5,8.0,7.6,5.5,6.4,9.1,4.0,5.0,8.0,7.0,3.0,5.9,6.5,7.6,7.0,6.2
144,8.0,7.7,9.0,9.0,9.4,4.0,7.4,8.9,7.5,7.3,8.6,6.8,8.3,8.4,9.0,9.0,8.7,7.3
145,5.4,7.5,10.0,7.5,7.1,6.0,0.0,10.0,8.0,,,8.5,,,9.5,8.5,,9.1
146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
147,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,,,,,,
148,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,
151,5.3,9.0,9.0,9.0,7.5,7.0,7.3,8.3,7.6,0.0,5.0,0.0,0.0,0.0,0.0,0.0,,0.0
155,5.7,7.2,6.2,7.7,7.4,5.0,6.1,5.3,0.0,5.5,2.8,0.5,0.0,6.0,7.4,6.7,0.0,6.4
157,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
159,7.4,7.0,8.4,7.0,9.0,7.8,7.2,7.0,5.8,8.6,8.0,8.0,7.8,6.3,10.0,7.3,8.3,7.5
160,7.6,6.5,6.5,7.1,0.0,6.0,7.0,6.2,8.8,8.0,8.0,7.0,8.2,8.3,9.1,8.0,7.0,7.3
164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
165,7.7,9.9,10.0,6.6,7.5,9.5,6.5,8.9,7.7,9.0,8.5,9.3,8.1,9.3,9.0,7.4,9.0,8.0
167,6.9,0.0,0.0,9.0,0.0,0.0,8.1,0.0,0.0,,,,,,,,,
168,6.8,7.0,9.0,9.0,8.4,5.2,8.2,9.1,8.0,8.2,7.0,6.7,9.0,9.3,8.0,8.1,9.1,8.4
169,7.0,9.0,9.0,,6.0,0.0,6.8,8.3,9.0,8.0,8.0,,,,,,,
170,7.2,9.0,9.0,7.6,8.5,7.0,7.0,8.1,7.3,8.0,9.0,8.7,7.2,8.1,10.0,9.2,9.5,9.1
171,0.0,7.4,0.0,0.0,6.0,5.0,7.0,0.0,0.0,,0.0,,,0.0,0.0,7.2,10.0,
172,6.7,8.0,5.0,7.0,6.5,8.0,6.7,9.0,7.1,6.0,7.2,5.1,7.5,7.4,9.5,8.2,9.4,8.0
173,0.0,7.5,0.0,0.0,5.0,5.0,7.2,0.0,0.0,,,,,,,,,
