id_alumne,P1,DDB,IO,ALGE,CAL,MD,FIS,ALGO,P2,ED,ELEC,AA,DS,EC,ICC,EMP,PIE,PAE,PIS,SO1,IA,SO2,TNUI,VA,XAR,BD,FHIC,GiVD,LIL,SWD
4,0.0,6.0,,,,,,1.7,,,,,,,,,,,,,,,,,,,,,,
8,8.2,,,,,,,2.4,,,,,,,,,,,,,,,,,,,,,,
9,7.0,10.0,5.7,7.0,8.8,7.3,6.2,8.0,8.6,7.1,8.9,9.0,6.0,8.0,7.1,7.8,6.6,8.1,9.0,9.0,7.5,9.5,8.8,8.5,6.9,6.0,9.0,8.0,10.0,7.6
11,5.6,8.0,6.0,6.0,6.0,6.2,6.0,6.6,6.7,5.1,6.7,7.0,5.0,5.2,6.5,7.8,8.7,7.5,7.0,6.6,7.0,7.4,8.5,7.4,4.0,9.0,6.5,4.0,6.2,5.7
12,6.0,,,,5.3,,2.7,5.0,6.0,,,,,,,,,,8.5,,,,,,,,,,,
15,5.0,10.0,8.4,8.4,8.6,8.1,5.2,6.7,7.5,6.0,5.9,9.0,6.0,7.5,8.0,8.3,9.6,7.5,10.0,7.7,8.0,8.6,7.2,7.9,9.0,7.1,6.5,6.2,10.0,8.0
18,6.1,,,6.0,6.0,,,0.5,,0.0,,,,,,,6.0,,,,,,,,,,,,,
23,7.0,7.4,6.7,8.5,7.4,3.7,10.0,5.7,5.0,6.0,7.3,,7.4,7.7,8.9,3.1,7.7,,0.0,7.6,5.0,6.0,0.0,,,,,,,
24,6.0,6.5,6.0,6.0,6.0,6.0,6.0,6.4,1.4,7.4,2.7,5.0,2.2,0.7,1.1,5.2,9.8,6.5,8.0,2.6,,,,,,,,,,
29,5.0,8.7,2.0,6.9,10.0,4.1,7.9,6.5,1.3,0.4,9.0,7.4,,7.7,,,,,,,,,,,,,,,,
31,,,,,6.7,,,2.6,,0.0,,,,,,,,,,,,,,,,,,,,
37,,,,6.0,,,6.0,,,,,,,,,,,,,,,,,,,,,,,
42,6.0,6.5,6.8,5.5,9.4,5.8,5.0,7.1,6.0,6.0,5.7,7.5,5.0,5.4,6.2,6.9,6.5,7.4,7.0,3.0,6.6,6.5,4.0,7.3,6.0,6.0,5.8,4.0,7.7,7.3
47,5.2,7.5,7.1,5.3,5.7,5.0,6.0,7.4,6.6,5.0,6.1,5.1,5.0,5.0,6.4,7.2,3.6,6.3,8.0,5.0,5.0,5.9,5.0,6.7,7.5,5.3,5.3,5.0,5.0,0.0
51,6.0,8.2,7.0,7.0,7.8,7.1,9.0,7.8,6.0,6.0,7.4,5.9,6.0,8.4,8.5,7.5,6.3,7.0,6.0,6.4,6.5,8.2,7.5,7.0,6.8,,7.0,7.0,8.1,6.8
