id_alumne,ADIP,ELPR,IACD,LIRM,MAVE,ALLI,ARIT,FISI,IACI,PRCI,CDDV,ESAL,GELI,GRAF,MNU1,CIDV,GEPR,HIMA,MMSD,TOPO,ANMA,EQAL,GDCS,MNU2,PROB,ANCO,EQDI,ESTA,MODE,TGGS
3,7.0,7.0,7.5,8.0,,,,,8.9,,,,,,,,,,,,,,,,,,,,,
5,6.0,4.5,3.8,8.2,7.0,5.9,6.6,5.5,6.3,6.2,4.3,3.4,,6.2,5.7,4.5,,,6.6,,,,,,,,,,,
6,7.0,7.0,5.0,6.4,,2.1,4.2,0.5,4.2,7.2,,,,8.0,2.0,,,7.0,,,,,,,,,,,,
7,7.3,7.6,5.9,8.6,7.5,5.6,6.9,6.4,9.0,8.8,6.3,7.1,7.3,8.0,6.5,8.1,8.5,6.6,7.6,7.0,7.6,7.3,,,6.2,,,8.4,,
10,6.3,,,1.6,2.8,,,,,,,,,,,,,,,,,,,,,,,,,
13,6.0,6.5,8.8,9.5,6.2,6.2,10.0,5.0,6.2,7.4,7.9,5.4,7.1,10.0,7.3,8.3,9.0,7.5,6.2,7.1,6.3,,6.5,,8.3,,,,,
14,4.0,8.6,1.7,9.3,,,,,,7.6,,,,,,,,,,,,,,,,,,,,
16,9.1,8.0,10.0,9.1,9.0,9.0,9.0,9.1,10.0,5.0,10.0,5.7,8.4,7.8,6.0,7.5,7.0,7.7,8.4,5.9,6.0,6.5,10.0,5.0,8.0,6.0,8.4,6.4,9.2,7.2
18,6.0,4.4,3.9,5.3,6.0,1.8,4.7,3.5,5.0,3.5,,,,7.6,,,,,,,,,,,,,,,,
19,9.3,7.3,8.0,9.2,6.0,6.0,6.0,6.0,8.0,6.0,8.0,7.0,6.0,7.7,5.5,8.0,,6.6,7.0,6.0,5.1,5.0,6.7,8.0,6.6,7.8,6.6,6.3,6.9,7.0
21,5.3,5.4,6.0,7.1,8.0,8.0,5.0,5.8,6.0,2.7,1.5,,,2.7,,5.1,,,2.9,1.3,,,,,,,,,,
25,7.0,5.2,7.7,5.5,6.0,3.4,5.0,5.1,6.1,,4.3,,,6.0,,2.9,,5.9,0.4,,,,,,,,,,,
26,,,7.0,7.0,7.0,7.0,,6.0,,,,,,,,,,,,,,,,,,,,,,
27,9.3,6.9,6.9,8.9,8.0,8.0,,6.9,6.9,,,,,,,,,,,,,,,,,,,,,
28,,7.7,3.9,3.3,,,,,,4.4,,,,,,,,,,,,,,,,,,,,
30,,7.2,,7.2,7.2,,,6.0,,3.7,,,,,,,,,,,,,,,,,,,,
33,6.0,5.0,3.4,6.2,4.3,6.5,5.5,6.0,6.8,6.1,,,,,,,,,,,,,,,,,,,,
